resume_text,job_description,match_score,match_label
"Full Stack Developer with 7 years of experience in Git, Kubernetes, NLP and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Kubernetes, NLP, TensorFlow. Experience with team collaboration preferred.",0.87,high
"FRONTEND DEVELOPER WITH 10 YEARS OF EXPERIENCE IN GIT, POWER BI, REACT AND SQL. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Frontend Developer at a growing company. Required skills: Git, Power BI, React, Kubernetes. Experience with team collaboration preferred.",0.82,medium
"Backend Developer with 4 years of experience in NLP, Kubernetes, AWS and Git. Worked on enterprise applications and delivered scalable solutions.",,0.74,medium
"DEVOPS ENGINEER WITH 9 YEARS OF EXPERIENCE IN LEADERSHIP, MACHINE LEARNING, PANDAS AND COMMUNICATION. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: Leadership, Machine Learning, Pandas, TensorFlow. Experience with team collaboration preferred.",0.69,medium
"Full Stack Developer with 7 years of experience in Pandas, Cybersecurity, Communication and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Pandas, Cybersecurity, Communication, NLP. Experience with team collaboration preferred.",0.71,medium
"Healthcare Analyst with 8 years of experience in Java, SQL, Python and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Java, SQL, Python, FastAPI. Experience with team collaboration preferred.",0.73,medium
"Data Analyst with 9 years of experience in FastAPI, Power BI, React and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: FastAPI, Power BI, React, Power BI. Experience with team collaboration preferred.",0.68,medium
"Sales Manager with 3 years of experience in Leadership, FastAPI, SQL and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: Leadership, FastAPI, SQL, Docker. Experience with team collaboration preferred.",0.71,medium
"Product Manager with 1 years of experience in AWS, Cybersecurity, C++ and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: AWS, Cybersecurity, C++, Pandas. Experience with team collaboration preferred.",0.48,low
"Cybersecurity Analyst with 10 years of experience in Node.js, NLP, Communication and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Node.js, NLP, Communication, Communication. Experience with team collaboration preferred.",0.47,low
"Frontend Developer with 5 years of experience in TensorFlow, Communication, Docker and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: TensorFlow, Communication, Docker, Java. Experience with team collaboration preferred.",0.63,low
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN KUBERNETES, GIT, AWS AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Kubernetes, Git, AWS, TensorFlow. Experience with team collaboration preferred.",0.56,low
"DevOps Engineer with 9 years of experience in React, TensorFlow, AWS and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: React, TensorFlow, AWS, Linux. Experience with team collaboration preferred.",0.79,medium
"Frontend Developer with 5 years of experience in C++, Java, Machine Learning and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: C++, Java, Machine Learning, Node.js. Experience with team collaboration preferred.",0.59,low
"Data Analyst with 3 years of experience in Power BI, FastAPI, Leadership and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Power BI, FastAPI, Leadership, Python. Experience with team collaboration preferred.",0.51,low
"Java Developer with 1 years of experience in AWS, Git, Docker and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: AWS, Git, Docker, Leadership. Experience with team collaboration preferred.",0.64,low
"Data Analyst with 3 years of experience in Machine Learning, Node.js, Java and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Machine Learning, Node.js, Java, Cybersecurity. Experience with team collaboration preferred.",0.46,low
"ML Engineer with 8 years of experience in Python, Communication, Linux and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Python, Communication, Linux, Git. Experience with team collaboration preferred.",0.81,medium
"Full Stack Developer with 7 years of experience in SQL, C++, FastAPI and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: SQL, C++, FastAPI, FastAPI. Experience with team collaboration preferred.",0.55,low
"UI/UX Designer with 8 years of experience in AWS, Leadership, Kubernetes and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: AWS, Leadership, Kubernetes, Node.js. Experience with team collaboration preferred.",0.54,low
"DEVOPS ENGINEER WITH 5 YEARS OF EXPERIENCE IN SQL, MACHINE LEARNING, DOCKER AND PYTHON. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: SQL, Machine Learning, Docker, Leadership. Experience with team collaboration preferred.",0.68,medium
"Full Stack Developer with 2 years of experience in Pandas, AWS, Docker and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Pandas, AWS, Docker, C++. Experience with team collaboration preferred.",0.9,high
"Frontend Developer with 8 years of experience in Communication, SQL, Python and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Communication, SQL, Python, Machine Learning. Experience with team collaboration preferred.",-0.2,medium
"Backend Developer with 8 years of experience in SQL, Machine Learning, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: SQL, Machine Learning, Linux, Communication. Experience with team collaboration preferred.",0.69,medium
"UI/UX Designer with 8 years of experience in Node.js, NLP, Docker and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Node.js, NLP, Docker, AWS. Experience with team collaboration preferred.",0.51,high
"Healthcare Analyst with 10 years of experience in NLP, Linux, Git and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: NLP, Linux, Git, FastAPI. Experience with team collaboration preferred.",0.82,medium
"Cloud Engineer with 10 years of experience in SQL, Cybersecurity, Git and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: SQL, Cybersecurity, Git, NLP. Experience with team collaboration preferred.",0.91,high
"Healthcare Analyst with 9 years of experience in Cybersecurity, Power BI, AWS and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Cybersecurity, Power BI, AWS, AWS. Experience with team collaboration preferred.",0.82,medium
"DevOps Engineer with 8 years of experience in Communication, Pandas, Node.js and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Pandas, Node.js, AWS. Experience with team collaboration preferred.",0.56,low
"Java Developer with 7 years of experience in FastAPI, C++, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: FastAPI, C++, Leadership, Kubernetes. Experience with team collaboration preferred.",0.61,low
"Python Developer with 9 years of experience in Cybersecurity, Python, SQL and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: Cybersecurity, Python, SQL, Node.js. Experience with team collaboration preferred.",0.86,high
"Business Analyst with 7 years of experience in Git, Machine Learning, Power BI and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Git, Machine Learning, Power BI, Power BI. Experience with team collaboration preferred.",0.93,high
"DevOps Engineer with 5 years of experience in React, AWS, Linux and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: React, AWS, Linux, Communication. Experience with team collaboration preferred.",0.69,medium
"Healthcare Analyst with 7 years of experience in TensorFlow, NLP, Pandas and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: TensorFlow, NLP, Pandas, C++. Experience with team collaboration preferred.",0.85,high
"Full Stack Developer with 10 years of experience in Java, NLP, Communication and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Java, NLP, Communication, Machine Learning. Experience with team collaboration preferred.",0.75,medium
"ML Engineer with 9 years of experience in Kubernetes, Leadership, SQL and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Kubernetes, Leadership, SQL, Git. Experience with team collaboration preferred.",0.83,medium
"Cloud Engineer with 5 years of experience in Power BI, NLP, Machine Learning and AWS. Worked on enterprise applications and delivered scalable solutions.",,0.55,low
"CYBERSECURITY ANALYST WITH 8 YEARS OF EXPERIENCE IN NODE.JS, DOCKER, NLP AND TENSORFLOW. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cybersecurity Analyst at a growing company. Required skills: Node.js, Docker, NLP, Docker. Experience with team collaboration preferred.",0.66,medium
"PYTHON DEVELOPER WITH 6 YEARS OF EXPERIENCE IN TENSORFLOW, C++, NLP AND PANDAS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: TensorFlow, C++, NLP, Python. Experience with team collaboration preferred.",1.2,low
"Product Manager with 1 years of experience in Docker, Leadership, Java and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Docker, Leadership, Java, NLP. Experience with team collaboration preferred.",0.56,low
"Backend Developer with 7 years of experience in Linux, Pandas, Leadership and C++. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Linux, Pandas, Leadership, Cybersecurity. Experience with team collaboration preferred.",0.88,high
"Product Manager with 10 years of experience in React, Machine Learning, Node.js and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: React, Machine Learning, Node.js, Docker. Experience with team collaboration preferred.",0.74,medium
"Cybersecurity Analyst with 1 years of experience in FastAPI, Python, React and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: FastAPI, Python, React, Linux. Experience with team collaboration preferred.",0.76,medium
"Data Analyst with 1 years of experience in Java, Cybersecurity, Leadership and Git. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Java, Cybersecurity, Leadership, Node.js. Experience with team collaboration preferred.",0.6,low
"CYBERSECURITY ANALYST WITH 3 YEARS OF EXPERIENCE IN NLP, AWS, NODE.JS AND POWER BI. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Cybersecurity Analyst at a growing company. Required skills: NLP, AWS, Node.js, NLP. Experience with team collaboration preferred.",0.67,medium
"Frontend Developer with 1 years of experience in Linux, Communication, NLP and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Linux, Communication, NLP, C++. Experience with team collaboration preferred.",0.96,high
"Full Stack Developer with 5 years of experience in TensorFlow, SQL, Git and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: TensorFlow, SQL, Git, FastAPI. Experience with team collaboration preferred.",0.62,low
"Cloud Engineer with 9 years of experience in Kubernetes, NLP, Linux and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Kubernetes, NLP, Linux, Communication. Experience with team collaboration preferred.",0.68,medium
"Cybersecurity Analyst with 10 years of experience in Power BI, NLP, Communication and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Power BI, NLP, Communication, Java. Experience with team collaboration preferred.",0.47,low
"DevOps Engineer with 8 years of experience in AWS, Kubernetes, Power BI and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: AWS, Kubernetes, Power BI, C++. Experience with team collaboration preferred.",0.91,medium
"Backend Developer with 7 years of experience in Docker, Python, Java and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Docker, Python, Java, Python. Experience with team collaboration preferred.",0.91,high
"UI/UX Designer with 9 years of experience in Node.js, Docker, Linux and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Node.js, Docker, Linux, React. Experience with team collaboration preferred.",0.71,medium
,"Looking for a Cybersecurity Analyst at a growing company. Required skills: Machine Learning, AWS, Node.js, TensorFlow. Experience with team collaboration preferred.",0.8,medium
"Data Analyst with 9 years of experience in Cybersecurity, Git, Pandas and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Cybersecurity, Git, Pandas, Linux. Experience with team collaboration preferred.",0.54,low
"Python Developer with 3 years of experience in SQL, React, NLP and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Python Developer at a growing company. Required skills: SQL, React, NLP, C++. Experience with team collaboration preferred.",0.56,low
"Product Manager with 8 years of experience in Git, Machine Learning, Linux and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Git, Machine Learning, Linux, Power BI. Experience with team collaboration preferred.",0.94,high
"Data Analyst with 3 years of experience in Python, Git, Docker and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Python, Git, Docker, AWS. Experience with team collaboration preferred.",0.62,low
"ML Engineer with 7 years of experience in FastAPI, Python, Cybersecurity and Kubernetes. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: FastAPI, Python, Cybersecurity, NLP. Experience with team collaboration preferred.",0.52,low
"DevOps Engineer with 9 years of experience in Communication, Kubernetes, Linux and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Kubernetes, Linux, NLP. Experience with team collaboration preferred.",0.67,medium
"Full Stack Developer with 8 years of experience in Git, Machine Learning, SQL and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Git, Machine Learning, SQL, Leadership. Experience with team collaboration preferred.",0.51,low
"Business Analyst with 1 years of experience in Machine Learning, NLP, React and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Machine Learning, NLP, React, Cybersecurity. Experience with team collaboration preferred.",0.87,high
"Data Analyst with 7 years of experience in C++, Leadership, Kubernetes and Power BI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: C++, Leadership, Kubernetes, Kubernetes. Experience with team collaboration preferred.",0.63,low
"Cloud Engineer with 9 years of experience in Linux, SQL, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Linux, SQL, Java, C++. Experience with team collaboration preferred.",0.65,medium
"Cloud Engineer with 2 years of experience in Power BI, Git, AWS and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Power BI, Git, AWS, Machine Learning. Experience with team collaboration preferred.",0.7,medium
,"Looking for a Python Developer at a growing company. Required skills: NLP, Cybersecurity, React, Kubernetes. Experience with team collaboration preferred.",0.48,low
"AI Engineer with 2 years of experience in Linux, Leadership, SQL and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Linux, Leadership, SQL, Cybersecurity. Experience with team collaboration preferred.",0.89,high
"Cloud Engineer with 5 years of experience in React, TensorFlow, C++ and NLP. Worked on enterprise applications and delivered scalable solutions.",,0.61,low
"ML Engineer with 2 years of experience in FastAPI, Power BI, Cybersecurity and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: FastAPI, Power BI, Cybersecurity, Node.js. Experience with team collaboration preferred.",0.75,medium
"Data Analyst with 4 years of experience in Node.js, React, C++ and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Node.js, React, C++, Python. Experience with team collaboration preferred.",0.86,high
"ML Engineer with 6 years of experience in SQL, Pandas, Docker and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: SQL, Pandas, Docker, AWS. Experience with team collaboration preferred.",0.74,medium
"Frontend Developer with 4 years of experience in Leadership, Docker, AWS and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Leadership, Docker, AWS, Linux. Experience with team collaboration preferred.",0.78,medium
,"Looking for a DevOps Engineer at a growing company. Required skills: C++, Git, Docker, TensorFlow. Experience with team collaboration preferred.",0.49,low
"DEVOPS ENGINEER WITH 5 YEARS OF EXPERIENCE IN C++, POWER BI, LEADERSHIP AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: C++, Power BI, Leadership, SQL. Experience with team collaboration preferred.",0.73,medium
"Cloud Engineer with 4 years of experience in Linux, Communication, Kubernetes and Python. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Linux, Communication, Kubernetes, React. Experience with team collaboration preferred.",0.59,low
"ML Engineer with 2 years of experience in Node.js, Power BI, Kubernetes and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Node.js, Power BI, Kubernetes, Machine Learning. Experience with team collaboration preferred.",0.94,high
"AI Engineer with 5 years of experience in AWS, Communication, Node.js and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: AWS, Communication, Node.js, C++. Experience with team collaboration preferred.",0.87,high
"Sales Manager with 6 years of experience in FastAPI, Communication, Power BI and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: FastAPI, Communication, Power BI, FastAPI. Experience with team collaboration preferred.",0.89,high
"DEVOPS ENGINEER WITH 9 YEARS OF EXPERIENCE IN COMMUNICATION, LINUX, POWER BI AND PANDAS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: Communication, Linux, Power BI, Cybersecurity. Experience with team collaboration preferred.",0.61,low
"PYTHON DEVELOPER WITH 2 YEARS OF EXPERIENCE IN PYTHON, POWER BI, AWS AND C++. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Python Developer at a growing company. Required skills: Python, Power BI, AWS, AWS. Experience with team collaboration preferred.",0.47,low
"Business Analyst with 3 years of experience in Pandas, Cybersecurity, Leadership and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: Pandas, Cybersecurity, Leadership, Python. Experience with team collaboration preferred.",0.74,medium
"Cloud Engineer with 8 years of experience in Java, FastAPI, Kubernetes and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cloud Engineer at a growing company. Required skills: Java, FastAPI, Kubernetes, FastAPI. Experience with team collaboration preferred.",0.85,high
"UI/UX Designer with 2 years of experience in Pandas, Linux, Java and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Pandas, Linux, Java, Java. Experience with team collaboration preferred.",0.8,medium
"DEVOPS ENGINEER WITH 10 YEARS OF EXPERIENCE IN FASTAPI, MACHINE LEARNING, GIT AND JAVA. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a DevOps Engineer at a growing company. Required skills: FastAPI, Machine Learning, Git, React. Experience with team collaboration preferred.",0.92,high
"Full Stack Developer with 9 years of experience in Power BI, Machine Learning, Docker and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Power BI, Machine Learning, Docker, Communication. Experience with team collaboration preferred.",0.85,high
"Java Developer with 3 years of experience in Docker, Python, Git and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Docker, Python, Git, Python. Experience with team collaboration preferred.",0.49,low
"BACKEND DEVELOPER WITH 5 YEARS OF EXPERIENCE IN LINUX, C++, DOCKER AND AWS. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Backend Developer at a growing company. Required skills: Linux, C++, Docker, C++. Experience with team collaboration preferred.",0.51,low
"Java Developer with 9 years of experience in Power BI, C++, Linux and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Power BI, C++, Linux, C++. Experience with team collaboration preferred.",0.69,medium
"Full Stack Developer with 3 years of experience in Cybersecurity, Node.js, Git and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Cybersecurity, Node.js, Git, Java. Experience with team collaboration preferred.",0.56,low
"ML Engineer with 7 years of experience in Java, Communication, Leadership and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Java, Communication, Leadership, Java. Experience with team collaboration preferred.",0.86,high
"Backend Developer with 5 years of experience in NLP, Docker, React and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: NLP, Docker, React, AWS. Experience with team collaboration preferred.",0.83,medium
"Python Developer with 8 years of experience in Power BI, NLP, Docker and FastAPI. Worked on enterprise applications and delivered scalable solutions.",,0.61,low
"Product Manager with 9 years of experience in Cybersecurity, Python, TensorFlow and Linux. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: Cybersecurity, Python, TensorFlow, Docker. Experience with team collaboration preferred.",0.6,low
"ML Engineer with 5 years of experience in Cybersecurity, AWS, Leadership and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a ML Engineer at a growing company. Required skills: Cybersecurity, AWS, Leadership, Communication. Experience with team collaboration preferred.",0.93,high
"Java Developer with 5 years of experience in Communication, FastAPI, SQL and Cybersecurity. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: Communication, FastAPI, SQL, Power BI. Experience with team collaboration preferred.",0.89,high
"Data Analyst with 8 years of experience in Power BI, FastAPI, Git and Node.js. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: Power BI, FastAPI, Git, Linux. Experience with team collaboration preferred.",0.68,medium
"Data Analyst with 5 years of experience in AWS, TensorFlow, Pandas and FastAPI. Worked on enterprise applications and delivered scalable solutions.","Looking for a Data Analyst at a growing company. Required skills: AWS, TensorFlow, Pandas, Python. Experience with team collaboration preferred.",0.54,low
"Business Analyst with 2 years of experience in TensorFlow, SQL, Machine Learning and Pandas. Worked on enterprise applications and delivered scalable solutions.","Looking for a Business Analyst at a growing company. Required skills: TensorFlow, SQL, Machine Learning, FastAPI. Experience with team collaboration preferred.",0.94,high
"UI/UX Designer with 9 years of experience in Leadership, Communication, AWS and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: Leadership, Communication, AWS, Communication. Experience with team collaboration preferred.",0.64,low
"Healthcare Analyst with 4 years of experience in Java, C++, Machine Learning and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Java, C++, Machine Learning, Machine Learning. Experience with team collaboration preferred.",0.9,high
,"Looking for a Product Manager at a growing company. Required skills: NLP, FastAPI, React, Power BI. Experience with team collaboration preferred.",,low
,"Looking for a Cybersecurity Analyst at a growing company. Required skills: NLP, Git, Cybersecurity, Kubernetes. Experience with team collaboration preferred.",0.94,high
"Backend Developer with 5 years of experience in Machine Learning, Cybersecurity, TensorFlow and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: Machine Learning, Cybersecurity, TensorFlow, Node.js. Experience with team collaboration preferred.",0.85,high
"Cybersecurity Analyst with 10 years of experience in Python, Power BI, Git and Docker. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Python, Power BI, Git, Machine Learning. Experience with team collaboration preferred.",0.52,low
"Full Stack Developer with 1 years of experience in Linux, Node.js, Git and Machine Learning. Worked on enterprise applications and delivered scalable solutions.","Looking for a Full Stack Developer at a growing company. Required skills: Linux, Node.js, Git, NLP. Experience with team collaboration preferred.",0.82,medium
"Backend Developer with 6 years of experience in AWS, Node.js, Cybersecurity and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Backend Developer at a growing company. Required skills: AWS, Node.js, Cybersecurity, Pandas. Experience with team collaboration preferred.",0.98,high
"Java Developer with 9 years of experience in AWS, Communication, NLP and Leadership. Worked on enterprise applications and delivered scalable solutions.","Looking for a Java Developer at a growing company. Required skills: AWS, Communication, NLP, Kubernetes. Experience with team collaboration preferred.",0.64,low
"UI/UX Designer with 7 years of experience in TensorFlow, Git, Communication and AWS. Worked on enterprise applications and delivered scalable solutions.","Looking for a UI/UX Designer at a growing company. Required skills: TensorFlow, Git, Communication, Kubernetes. Experience with team collaboration preferred.",0.89,high
"AI Engineer with 1 years of experience in Pandas, Git, Leadership and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a AI Engineer at a growing company. Required skills: Pandas, Git, Leadership, FastAPI. Experience with team collaboration preferred.",0.66,medium
"Frontend Developer with 8 years of experience in Power BI, Cybersecurity, SQL and Communication. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Power BI, Cybersecurity, SQL, Docker. Experience with team collaboration preferred.",0.54,low
"Sales Manager with 1 years of experience in SQL, Power BI, Git and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Sales Manager at a growing company. Required skills: SQL, Power BI, Git, Docker. Experience with team collaboration preferred.",0.45,low
,"Looking for a Product Manager at a growing company. Required skills: FastAPI, Python, Git, Git. Experience with team collaboration preferred.",0.56,low
"Healthcare Analyst with 4 years of experience in Cybersecurity, React, FastAPI and TensorFlow. Worked on enterprise applications and delivered scalable solutions.","Looking for a Healthcare Analyst at a growing company. Required skills: Cybersecurity, React, FastAPI, Java. Experience with team collaboration preferred.",0.76,medium
"SALES MANAGER WITH 4 YEARS OF EXPERIENCE IN C++, NODE.JS, TENSORFLOW AND GIT. WORKED ON ENTERPRISE APPLICATIONS AND DELIVERED SCALABLE SOLUTIONS.    ","Looking for a Sales Manager at a growing company. Required skills: C++, Node.js, TensorFlow, TensorFlow. Experience with team collaboration preferred.",0.81,medium
"Frontend Developer with 7 years of experience in Git, Leadership, Kubernetes and NLP. Worked on enterprise applications and delivered scalable solutions.","Looking for a Frontend Developer at a growing company. Required skills: Git, Leadership, Kubernetes, Git. Experience with team collaboration preferred.",0.67,medium
"Cybersecurity Analyst with 6 years of experience in Communication, SQL, AWS and Java. Worked on enterprise applications and delivered scalable solutions.","Looking for a Cybersecurity Analyst at a growing company. Required skills: Communication, SQL, AWS, Python. Experience with team collaboration preferred.",0.46,low
"Product Manager with 9 years of experience in FastAPI, Linux, Git and React. Worked on enterprise applications and delivered scalable solutions.","Looking for a Product Manager at a growing company. Required skills: FastAPI, Linux, Git, Java. Experience with team collaboration preferred.",0.7,medium
